test,predict
4.222,3.7872512
4.002444444,3.7439907
3.968111111,3.8333821
3.682666667,3.627597
3.523333333,3.420413
3.397777778,3.1854906
3.394666667,3.1753473
3.356888889,3.173355
3.368555556,3.0751405
3.2877499999999995,3.1790702
3.325333333,3.0023932
3.407888889,3.1629467
3.1891111109999994,3.2313676
3.146,3.3472574
3.026111111,3.045889
3.017888889,2.9952583
2.975,2.974669
3.088555556,2.952036
2.954666667,3.0675237
3.045555556,3.0295956
2.923111111,3.0642946
2.993111111,3.0965247
2.979,3.1808667
