test,predict
3.621444444,3.540223
3.893555556,3.7049239
3.872444444,3.8556266
3.478777778,3.9322882
3.532222222,3.8676598
3.648,3.457255
3.481777778,3.4783413
3.506666667,3.5665321
3.179333333,3.3426125
3.313111111,3.2230933
3.300666667,2.9841814
3.373333333,3.1010756
3.3034444440000006,3.2738264
2.935666667,3.3161821
3.136444444,3.3823886
3.193333333,3.3897614
3.019444444,3.202899
2.970666667,3.187868
2.930666667,3.3854558
3.073555556,3.210442
3.0666666670000002,3.179686
3.059333333,3.0899327
2.94,2.9788415
