test,predict
3.594333333,3.7124035
3.756555556,3.4567494
3.578666667,3.4017057
3.8262222219999997,3.6827214
3.568,3.5542407
3.4548888889999994,3.4745207
3.328888889,3.3985813
3.435555556,3.441065
3.204111111,3.2710238
3.068444444,3.0395553
3.132333333,3.083544
3.177444444,3.0896385
3.168111111,3.0210896
3.5284444439999993,2.9759183
3.7358888889999995,2.973673
3.756444444,3.4602864
3.478,3.3767219
3.491555556,3.3179722
2.904555556,3.1135278
2.812444444,3.0084064
2.623222222,2.973081
2.786333333,3.0623343
2.687777778,2.9198332
