test,predict
3.621444444,3.4350064
3.893555556,3.9552462
3.872444444,4.066597
3.478777778,3.9586353
3.532222222,3.6507156
3.648,3.3982031
3.481777778,3.2968996
3.506666667,3.3624132
3.179333333,3.2687283
3.313111111,3.2382674
3.300666667,3.114507
3.373333333,3.0740921
3.3034444440000006,3.2010128
2.935666667,3.1280165
3.136444444,3.1273937
3.193333333,3.2728417
3.019444444,3.2841706
2.970666667,3.0971658
2.930666667,3.2566493
3.073555556,3.242801
3.0666666670000002,3.2169
3.059333333,3.1819227
2.94,3.0377028
