test,predict
3.734555556,4.0005965
3.671111111,3.976115
3.699111111,3.7890482
3.3363333330000002,3.687204
3.146777778,3.340024
3.118444444,3.0233135
3.182444444,3.0123732
3.117555556,3.1643436
3.013111111,3.1002958
2.955,3.0164325
3.040888889,2.9508607
2.963111111,2.9552014
3.143555556,2.9684374
3.1022222219999995,3.0285132
3.076444444,3.2367804
3.000555556,3.2356844
2.923888889,3.1232338
3.022666667,3.1865973
3.02,3.0202584
3.118222222,3.1213574
3.019666667,2.9808676
3.158,2.9218485
3.036444444,2.8665328
