test,predict
3.734555556,3.9347768
3.671111111,3.9034302
3.699111111,3.8505373
3.3363333330000002,3.6020923
3.146777778,3.3736203
3.118444444,3.0873234
3.182444444,2.9080136
3.117555556,2.9367745
3.013111111,3.128962
2.955,3.1313355
3.040888889,2.9871807
2.963111111,2.9007087
3.143555556,2.9102511
3.1022222219999995,2.985415
3.076444444,3.107085
3.000555556,3.1893647
2.923888889,3.14588
3.022666667,3.1630638
3.02,3.0491161
3.118222222,3.2319052
3.019666667,3.074495
3.158,3.050396
3.036444444,2.836232
