kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.11428664381158324,0.016049276555072867,0.2821481531514521,0.02428651962490987,0.0875142164543363,0.007996139343715772,0.2802292031206516,0.10107743293631513
2,0.07944147606669669,0.015248466476701876,0.23169525419526366,0.0204569195161642,0.07585534422125931,0.00672116818485859,-0.012248839871596463,0.19429702549715266
3,0.07738177424730751,0.010856531529659439,0.21849243655215694,0.01567725716977861,0.06428340713727163,0.004448881167948751,-0.6289524797417643,0.2285392668836193
4,0.06853465792634171,0.005645017079469696,0.2045416270470076,0.010549222341643794,0.06269340491724282,0.0032409963859386924,0.4556956586261549,0.04483289763826021
5,0.024554522456502765,0.004077339324934189,0.12938574205075254,0.014470622392542763,0.04053312934808847,0.004523666793581377,0.5295664396890704,0.07811665890152872
6,0.03933993292440641,0.009596590875363496,0.16101908581842309,0.018839158573127384,0.047581956899230164,0.00536279674741136,0.6861720484228517,0.07655525143691438
7,0.09108154621600927,0.02121584483471331,0.21199791559797787,0.021214264155556974,0.06053420454292345,0.005638574581529404,0.32006668978411346,0.15837851032175065
8,0.04661674121778628,0.004065821798809289,0.1790665166388853,0.004832924986479385,0.05511080630583729,0.001961592863737301,0.42776358745892473,0.04990935057670286
