test,predict
3.621444444,3.7805421
3.893555556,3.9059443
3.872444444,3.78262
3.478777778,3.7555165
3.532222222,3.771475
3.648,3.39813
3.481777778,3.4450235
3.506666667,3.573069
3.179333333,3.3553572
3.313111111,3.2738132
3.300666667,3.1035824
3.373333333,3.232656
3.3034444440000006,3.2429545
2.935666667,3.1234558
3.136444444,3.2415009
3.193333333,3.263069
3.019444444,3.2236674
2.970666667,3.294588
2.930666667,3.4545105
3.073555556,3.3268085
3.0666666670000002,3.3467367
3.059333333,3.3459997
2.94,3.1539168
